,0
market_Advertising,-0.022359592513488617
market_Analytics,-1.2983023994449407
market_Android,0.0737797729430996
market_Apps,-0.25155951754804434
market_Automotive,0.19881598686097243
market_Biotechnology,1.4094051283738578
market_Clean Technology,1.7197345748663415
market_Cloud Computing,-1.3083096245606223
market_Consulting,1.47272561788107
market_Curated Web,0.31978944909663487
market_E-Commerce,0.007655402540848772
market_Education,-0.0151660484005583
market_Enterprise Software,-0.46773051920081343
market_Facebook Applications,0.30895846474098987
market_Fashion,0.9977963707461253
market_Finance,-0.4439253737083987
market_Games,0.5115307877391201
market_Hardware + Software,0.6810346237143964
market_Health Care,1.12556262986293
market_Health and Wellness,0.7827533126750963
market_Hospitality,-0.16508682188802173
market_Internet,-0.3375250848768752
market_Manufacturing,1.045237051800246
market_Marketplaces,1.0001004472401307
market_Messaging,0.18495940318743012
market_Mobile,0.16019983172120725
market_Music,0.6350760697724673
market_Networking,0.19934624638362478
market_News,-0.005797947844269502
market_Photography,-0.5373376068136535
market_Public Relations,1.3125601330460108
market_Real Estate,-0.3366980207422907
market_SaaS,-0.9934547595178205
market_Sales and Marketing,-0.3122038808649118
market_Search,0.0400988104556747
market_Security,-0.4772553685448382
market_Semiconductors,0.7346805679783603
market_Shopping,-0.5854840399421207
market_Social Media,0.4411691250605568
market_Social Network Media,0.8114019307537906
market_Software,0.023792105842407946
market_Sports,0.8311818398570514
market_Travel,-0.5783962368738435
market_Video,-0.41063105862453253
market_Web Development,-0.6829629901526896
market_Web Hosting,-0.0003535922880732775
market_iPhone,0.17879515953868036
market_other,-0.10385547050076556
region_Austin,0.9016654672018072
region_Boston,0.3649601902410813
region_Chicago,0.7700381986515926
region_Denver,0.7426993496585118
region_London,0.7656429108153604
region_Los Angeles,0.6501578542335273
region_New York City,0.6093522748785276
region_SF Bay Area,0.10283162634389248
region_San Diego,0.560333991018789
region_Seattle,0.4776064051217927
region_Tel Aviv,0.3980022962175083
"region_Washington, D.C.",0.32828430157670707
region_other,1.202170023868467
funding_rounds,-3.543851948983332
seed,-3.479310904988311
venture,-1.9357208476992276
equity_crowdfunding,-1.2042824300911958
undisclosed,-1.336606970039645
convertible_note,2.2639252648010872
debt_financing,-1.5530306452742266
angel,-0.8298064179613647
grant,2.0826472618675123
private_equity,-3.9830435382348903
product_crowdfunding,-1.1946191108643658
round_A,-2.2078120759837536
round_B,-0.0012271948598943962
round_C,-0.45148521038015527
round_D,-0.5060591051787052
round_E,-0.7832020971064103
round_F,0.3289791674581806
round_G,-0.05250989460524246
time_to_first_funding,-13.663578587814394
founded_month,0.025655309831788046
international,0.03240005010714753
